age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,y
50,4,1,2,0,2143,1,0,5,5,4.35,1,-1,0,1,0
40,9,2,1,0,29,1,0,5,5,2.52,1,-1,0,1,0
30,2,1,1,0,2,1,1,5,5,1.27,1,-1,0,1,0
30,4,1,2,0,231,1,0,5,5,2.32,1,-1,0,1,0
20,4,2,2,0,447,1,1,5,5,3.62,1,-1,0,1,0
40,2,0,2,1,2,1,0,5,5,6.33,1,-1,0,1,0
50,5,1,0,0,121,1,0,5,5,0.83,1,-1,0,1,0
40,9,2,1,0,593,1,0,5,5,0.92,1,-1,0,1,0
40,0,0,1,0,270,1,0,5,5,3.7,1,-1,0,1,0
20,0,2,1,0,390,1,0,5,5,2.28,1,-1,0,1,0
50,9,1,1,0,6,1,0,5,5,8.62,1,-1,0,1,0
50,7,1,1,0,162,1,0,5,5,2.9,1,-1,0,1,0
50,5,1,0,0,229,1,0,5,5,5.88,1,-1,0,1,0
50,1,1,0,0,52,1,0,5,5,0.63,1,-1,0,1,0
60,5,1,0,0,60,1,0,5,5,3.65,1,-1,0,1,0
30,7,1,1,0,0,1,0,5,5,0.9,1,-1,0,1,0
20,1,1,1,0,723,1,1,5,5,4.37,1,-1,0,1,0
50,4,1,2,0,779,1,0,5,5,2.73,1,-1,0,1,0
30,1,2,0,0,23,1,1,5,5,2.67,1,-1,0,1,0
20,7,1,1,0,50,1,0,5,5,5.7,1,-1,0,1,0
40,5,1,0,0,0,1,1,5,5,3.02,1,-1,0,1,0
40,0,1,1,0,-372,1,0,5,5,2.87,1,-1,0,1,0
30,4,2,2,0,255,1,0,5,5,4.93,1,-1,0,1,0
50,2,1,1,0,113,1,1,5,5,2.12,1,-1,0,1,0
40,4,2,1,0,-246,1,0,5,5,4.25,2,-1,0,1,0
30,9,2,1,0,265,1,1,5,5,5.8,1,-1,0,1,0
50,9,1,1,0,839,0,1,5,5,3.75,1,-1,0,1,0
40,4,1,2,0,378,1,0,5,5,3.83,1,-1,0,1,0
60,0,1,1,0,39,1,1,5,5,3.47,1,-1,0,1,0
50,1,1,1,0,0,1,0,5,5,3.77,1,-1,0,1,0
50,9,0,1,0,63,1,0,5,5,4.03,1,-1,0,1,0
20,1,1,1,0,-7,1,0,5,5,6.08,1,-1,0,1,0
50,9,1,1,0,-3,0,0,5,5,27.77,1,-1,0,1,0
30,0,0,1,0,506,1,0,5,5,9.62,1,-1,0,1,0
30,0,2,1,0,0,1,0,5,5,2.28,1,-1,0,1,0
40,7,0,1,0,2586,1,0,5,5,2.67,1,-1,0,1,0
50,4,1,1,0,49,1,0,5,5,3,2,-1,0,1,0
50,5,1,1,0,529,1,0,5,5,24.87,1,-1,0,1,0
30,0,2,0,0,-171,1,0,5,5,4.03,1,-1,0,1,0
50,6,1,2,0,-364,1,0,5,5,5.92,1,-1,0,1,0
40,9,1,1,0,0,1,0,5,5,3.75,2,-1,0,1,0
50,9,0,1,0,0,0,0,5,5,2.67,1,-1,0,1,0
20,4,2,2,0,0,1,0,5,5,6.05,1,-1,0,1,0
50,1,1,1,0,1291,1,0,5,5,4.43,1,-1,0,1,0
40,4,0,2,0,-244,1,0,5,5,4.22,1,-1,0,1,0
30,4,1,2,0,0,1,0,5,5,2.98,1,-1,0,1,0
40,0,2,1,0,-76,1,0,5,5,13.12,1,-1,0,1,0
20,9,2,1,0,-103,1,1,5,5,2.42,1,-1,0,1,0
30,2,2,2,0,243,0,1,5,5,2.9,1,-1,0,1,0
30,4,2,2,0,424,1,0,5,5,1.73,1,-1,0,1,0
40,7,1,0,0,179,1,0,5,5,29.63,1,-1,0,1,0
30,0,1,2,0,0,1,0,5,5,2.3,1,-1,0,1,0
50,9,0,1,0,989,1,0,5,5,13.53,1,-1,0,1,0
50,1,1,0,0,249,1,0,5,5,2.73,1,-1,0,1,0
30,7,1,1,0,790,1,0,5,5,6.52,1,-1,0,1,0
50,4,1,2,0,6530,1,0,5,5,1.52,1,-1,0,1,0
60,5,1,2,0,100,0,0,5,5,8.8,1,-1,0,1,0
50,4,0,2,0,59,1,0,5,5,4.55,1,-1,0,1,0
50,9,1,1,0,1205,1,0,5,5,2.63,2,-1,0,1,0
50,1,1,1,0,5935,1,1,5,5,4.3,1,-1,0,1,0
30,7,1,1,0,25,1,1,5,5,2.87,1,-1,0,1,0
50,4,1,1,0,282,1,1,5,5,2.57,1,-1,0,1,0
50,1,1,0,0,23,1,0,5,5,4.85,1,-1,0,1,0
40,9,1,1,0,1937,1,0,5,5,3.02,1,-1,0,1,0
50,9,1,1,0,384,1,0,5,5,2.93,1,-1,0,1,0
40,1,1,1,0,582,0,1,5,5,3.52,1,-1,0,1,0
50,7,0,1,0,91,0,0,5,5,5.82,1,-1,0,1,0
40,7,0,1,0,0,1,1,5,5,4.53,1,-1,0,1,0
50,7,0,1,1,1,1,0,5,5,3.47,1,-1,0,1,0
40,0,2,1,0,206,1,0,5,5,3.22,1,-1,0,1,0
40,7,0,1,0,164,0,0,5,5,3.53,1,-1,0,1,0
40,9,2,1,0,690,1,0,5,5,0.33,1,-1,0,1,0
50,0,1,1,0,2343,1,0,5,5,17.37,1,-1,0,1,1
40,6,1,2,0,137,1,1,5,5,4.1,1,-1,0,1,0
50,1,1,0,0,173,1,0,5,5,8.82,2,-1,0,1,0
50,0,1,1,0,45,0,0,5,5,24.45,1,-1,0,1,1
40,9,1,1,0,1270,1,0,5,5,23.15,1,-1,0,1,1
40,4,0,1,0,16,1,1,5,5,3.13,2,-1,0,1,0
50,5,1,1,0,486,1,0,5,5,3,2,-1,0,1,0
40,4,2,1,0,50,0,0,5,5,0.8,1,-1,0,1,0
30,9,1,1,0,152,1,1,5,5,3.55,2,-1,0,1,0
60,0,1,1,0,290,1,0,5,5,9.72,1,-1,0,1,0
50,2,0,1,0,-37,0,0,5,5,2.88,1,-1,0,1,0
30,4,1,2,0,101,1,1,5,5,7.1,1,-1,0,1,0
50,1,1,1,0,383,0,0,5,5,4.78,1,-1,0,1,0
60,5,1,2,0,81,1,0,5,5,1.68,1,-1,0,1,0
30,9,1,1,0,0,1,0,5,5,3.38,1,-1,0,1,0
40,4,1,2,0,229,1,0,5,5,3.28,1,-1,0,1,0
40,1,1,1,0,-674,1,0,5,5,4.28,1,-1,0,1,0
50,1,1,0,0,90,0,0,5,5,2.07,1,-1,0,1,0
50,1,1,0,0,128,1,0,5,5,3.82,1,-1,0,1,0
50,1,1,0,0,179,1,0,5,5,0.92,3,-1,0,1,0
20,9,2,2,0,0,1,0,5,5,6.67,1,-1,0,1,0
40,1,1,1,0,54,1,0,5,5,3.28,1,-1,0,1,0
40,9,1,2,0,151,1,0,5,5,3.17,1,-1,0,1,0
30,0,1,1,0,61,0,1,5,5,0.35,1,-1,0,1,0
50,5,2,1,0,30,1,0,5,5,8.57,1,-1,0,1,0
40,4,1,2,0,523,1,0,5,5,14.15,2,-1,0,1,0
20,7,0,1,0,31,1,0,5,5,3.23,1,-1,0,1,0
40,9,0,1,0,79,0,0,5,5,2.4,1,-1,0,1,0
50,6,1,0,0,-34,1,1,5,5,3.53,2,-1,0,1,0
30,1,1,0,0,448,1,0,5,5,4.77,1,-1,0,1,0
50,5,0,0,0,81,1,0,5,5,1.78,1,-1,0,1,0
40,1,1,1,0,144,1,0,5,5,4.12,2,-1,0,1,0
40,0,1,1,0,351,1,0,5,5,8.63,1,-1,0,1,0
30,4,2,2,0,-67,1,0,5,5,6.07,1,-1,0,1,0
50,4,0,2,0,262,0,0,5,5,2.97,1,-1,0,1,0
50,9,1,0,0,0,0,0,5,5,1.63,1,-1,0,1,0
50,1,1,1,0,26,1,0,5,5,1.32,1,-1,0,1,0
40,7,1,1,0,41,1,1,5,5,2.12,2,-1,0,1,0
50,9,1,2,0,7,0,1,5,5,2.92,1,-1,0,1,0
30,9,2,1,0,105,1,0,5,5,4.37,2,-1,0,1,0
20,0,2,1,0,818,1,1,5,5,1.02,1,-1,0,1,0
30,7,1,1,0,-16,1,1,5,5,1.3,1,-1,0,1,0
30,1,1,1,0,0,1,0,5,5,2.38,1,-1,0,1,0
50,7,1,1,0,2476,1,0,5,5,9.65,1,-1,0,1,1
30,0,2,1,0,217,1,0,5,5,5.75,1,-1,0,1,0
30,9,2,1,0,1685,1,0,5,5,3.08,1,-1,0,1,0
